Tick, X-Pos, Y-Pos, Z-Pos, X-Vel, Y-Vel, Z-Vel, Speed
0, 0, 0, 0, 16, 0, 0, 16
1, 15.92, -0.025, 0, 15.84, -0.05, 0, 15.84007891
2, 31.6808, -0.09975, 0, 15.6816, -0.0995, 0, 15.68191566
3, 47.283992, -0.2237525, 0, 15.524784, -0.148505, 0, 15.52549426
4, 62.73115208, -0.396514975, 0, 15.36953616, -0.19701995, 0, 15.37079889
5, 78.02384056, -0.6175498252, 0, 15.2158408, -0.2450497505, 0, 15.21781392
6, 93.16360215, -0.886374327, 0, 15.06368239, -0.292599253, 0, 15.06652387
7, 108.1519661, -1.202510584, 0, 14.91304557, -0.3396732605, 0, 14.91691342
8, 122.9904465, -1.565485478, 0, 14.76391511, -0.3862765279, 0, 14.76896743
9, 137.680542, -1.974830623, 0, 14.61627596, -0.4324137626, 0, 14.62267091
10, 152.2237366, -2.430082317, 0, 14.4701132, -0.478089625, 0, 14.47800904
11, 166.6214992, -2.930781494, 0, 14.32541207, -0.5233087287, 0, 14.33496714
12, 180.8752842, -3.476473679, 0, 14.18215795, -0.5680756414, 0, 14.19353071
13, 194.9865314, -4.066708942, 0, 14.04033637, -0.612394885, 0, 14.05368538
14, 208.9566661, -4.701041853, 0, 13.899933, -0.6562709362, 0, 13.91541696
15, 222.7870994, -5.379031434, 0, 13.76093367, -0.6997082268, 0, 13.77871138
16, 236.4792284, -6.10024112, 0, 13.62332434, -0.7427111445, 0, 13.64355474
17, 250.0344361, -6.864238709, 0, 13.48709109, -0.7852840331, 0, 13.50993328
18, 263.4540918, -7.670596321, 0, 13.35222018, -0.8274311927, 0, 13.37783339
19, 276.7395509, -8.518890358, 0, 13.21869798, -0.8691568808, 0, 13.2472416
20, 289.8921553, -9.408701455, 0, 13.086511, -0.910465312, 0, 13.11814458
21, 302.9132338, -10.33961444, 0, 12.95564589, -0.9513606589, 0, 12.99052915
22, 315.8041015, -11.3112183, 0, 12.82608943, -0.9918470523, 0, 12.86438225
